ranking,name,profile,position,age,nationality,flag,club,club_logo,market_value
70,Youri Tielemans,https://img.a.transfermarkt.technology/portrait/small/249565-1484838905.jpg?lm=1,Central Midfield,23,Belgium,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,€55.00m
71,N'Golo Kanté,https://img.a.transfermarkt.technology/portrait/small/225083-1598302373.jpg?lm=1,Central Midfield,30,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1444558831,€55.00m
72,Milan Skriniar,https://img.a.transfermarkt.technology/portrait/small/204069-1598256813.jpg?lm=1,Centre-Back,26,Slovakia,https://tmssl.akamaized.net/images/flagge/verysmall/154.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€55.00m
73,Saúl Ñíguez,https://img.a.transfermarkt.technology/portrait/small/148928-1447152836.jpg?lm=1,Central Midfield,26,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Atlético Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,€55.00m
74,Roberto Firmino,https://img.a.transfermarkt.technology/portrait/small/131789-1520605270.jpg?lm=1,Centre-Forward,29,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,€55.00m
75,Stefan de Vrij,https://img.a.transfermarkt.technology/portrait/small/111196-1593165111.jpg?lm=1,Centre-Back,29,Netherlands,https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€55.00m
76,Mauro Icardi,https://img.a.transfermarkt.technology/portrait/small/68863-1591599151.jpg?lm=1,Centre-Forward,28,Argentina,https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569,Paris Saint-Germain,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,€55.00m
77,David Alaba,https://img.a.transfermarkt.technology/portrait/small/59016-1540568208.jpg?lm=1,Centre-Back,28,Austria,https://tmssl.akamaized.net/images/flagge/verysmall/127.png?lm=1520611569,Bayern Munich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,€55.00m
78,Mason Greenwood,https://img.a.transfermarkt.technology/portrait/small/532826-1594986623.jpg?lm=1,Right Winger,19,England,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,Manchester United,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,€50.00m
79,Tanguy Ndombélé,https://img.a.transfermarkt.technology/portrait/small/450936-1561540648.jpg?lm=1,Central Midfield,24,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Tottenham Hotspur,https://tmssl.akamaized.net/images/wappen/verysmall/148.png?lm=1544345801,€50.00m
80,Victor Osimhen,https://img.a.transfermarkt.technology/portrait/small/401923-1570439308.jpg?lm=1,Centre-Forward,22,Nigeria,https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569,SSC Napoli,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,€50.00m
81,Pau Torres,https://img.a.transfermarkt.technology/portrait/small/399776-1568023168.jpg?lm=1,Centre-Back,24,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Villarreal CF,https://tmssl.akamaized.net/images/wappen/verysmall/1050.png?lm=1408655310,€50.00m
82,Ferran Torres,https://img.a.transfermarkt.technology/portrait/small/398184-1522825816.jpg?lm=1,Right Winger,21,Spain,https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,€50.00m
83,Achraf Hakimi,https://img.a.transfermarkt.technology/portrait/small/398073-1534235948.jpg?lm=1,Right Midfield,22,Morocco,https://tmssl.akamaized.net/images/flagge/verysmall/107.png?lm=1520611569,Inter Milan,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1617228474,€50.00m
84,Houssem Aouar,https://img.a.transfermarkt.technology/portrait/small/395693-1510155387.jpg?lm=1,Central Midfield,22,France,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,Olympique Lyon,https://tmssl.akamaized.net/images/wappen/verysmall/1041.png?lm=1581024966,€50.00m
85,Arthur,https://img.a.transfermarkt.technology/portrait/small/362842-1599988056.jpg?lm=1,Central Midfield,24,Brazil,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,Juventus FC,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1594291454,€50.00m
